,Child utterance:utterance,Child gaze:robot,Child gaze:props,Child gaze:missing data,Child gaze:parent,Child affect:positive 1,Child affect:positive 2,Child gesture:point at prop,Parent utterance:utterance,Parent utterance:other vocalization,Parent utterance:missing data,Verbal scaffolding:cognitive,Verbal scaffolding:affective,Verbal scaffolding:technical,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Parent gaze:child,Parent gaze:robot,Parent gaze:props,Parent gaze:missing data,Parent affect:positive 1,Parent affect:positive 2,Parent gesture:point at prop,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,robot text:correction,robot text:try again,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Joint attention:missing data,Mutual gaze:MG
robot text:teach,"[1, 1.0]","[5, 0.8777373736695696]","[1, 1.0]","[100, 100]","[1, 1.0]","[2, 0.0013157698684974322]","[5, 0.00017397470748010233]","[1, 1.0]","[5, 0.956603287259111]","[100, 100]","[100, 100]","[5, 0.7112671604422468]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 0.27442182026197964]","[5, 0.8308184267286001]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.015414318692871888]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.0011768659106247488]","[5, 1.3534128902161922e-05]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.7181175868814582]","[1, 1.0]","[100, 100]","[1, 1.0]"
robot text:pick up,"[1, 1.0]","[1, 0.3148786413364127]","[1, 0.3457249876728611]","[100, 100]","[1, 1.0]","[3, 0.05151460886313707]","[1, 0.0011768659106247386]","[5, 0.17580184420240122]","[1, 0.11719861801892088]","[100, 100]","[100, 100]","[5, 0.04027747394746017]","[1, 1.0]","[1, 1.0]","[5, 0.9944395761786449]","[100, 100]","[3, 0.339933483062757]","[2, 0.03739593778154283]","[1, 0.30227902243813576]","[1, 1.0]","[3, 0.015306118189062773]","[1, 0.00857887110552759]","[5, 0.9944395761786449]","[100, 100]","[5, 0.22609434783100926]","[1, 1.0]","[4, 5.178002516869438e-10]","[100, 100]","[100, 100]","[4, 5.178002516869438e-10]","[100, 100]","[1, 1.0]","[5, 0.007752815588405022]","[5, 0.9996384563355547]","[1, 2.4284674729758432e-06]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.1745377837329466]","[3, 0.8287875411895637]","[100, 100]","[1, 1.0]"
robot text:positive feedback,"[5, 0.9999999999997469]","[2, 0.1819902108808839]","[1, 0.22487885706108132]","[100, 100]","[5, 3.6117995089925e-12]","[2, 0.12038970256958366]","[1, 1.0]","[4, 0.15210134350115562]","[1, 0.04162693993967859]","[100, 100]","[100, 100]","[1, 1.0]","[2, 0.003697767201665623]","[1, 2.007865612426481e-05]","[1, 1.0]","[100, 100]","[4, 0.19819982568683206]","[1, 0.14423140605584248]","[1, 0.1833348121036883]","[5, 0.9999999999760925]","[3, 0.0004398496528388289]","[4, 2.2865172142798492e-05]","[1, 1.0]","[100, 100]","[5, 0.1125632067963953]","[1, 1.0]","[5, 0.9797835803249672]","[100, 100]","[100, 100]","[5, 0.9797835803249672]","[1, 1.0]","[100, 100]","[5, 0.3909098883656696]","[1, 1.0]","[1, 1.0]","[5, 0.9999999999998137]","[5, 0.9999999999985315]","[5, 0.9999999999760925]","[5, 0.9999999999760925]","[1, 0.09050439884321686]","[4, 0.14697768890955376]","[100, 100]","[5, 0.00011376370718158354]"
robot text:put down,"[5, 0.0001783458571874012]","[5, 0.040500473402591775]","[5, 0.5196848193596049]","[100, 100]","[1, 1.0]","[3, 0.010854762620934452]","[1, 0.7443002495019678]","[5, 0.8175782764149738]","[4, 0.005048913290610467]","[100, 100]","[100, 100]","[5, 1.372224173014106e-06]","[3, 0.3237185486014736]","[1, 1.0]","[1, 1.0]","[100, 100]","[2, 0.18196444751105814]","[2, 0.0007521132204676485]","[3, 0.0018622739750302681]","[1, 1.0]","[4, 3.812494447144095e-05]","[5, 0.21015263399528464]","[1, 1.0]","[100, 100]","[4, 0.002369940273476684]","[5, 8.735318225432008e-10]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 0.7716705035436228]","[1, 0.042181057333895815]","[100, 100]","[2, 0.011233953482883212]","[5, 0.9988890014235724]","[5, 0.002800415850484194]","[5, 0.9977346355001849]","[5, 0.00010149909341721148]","[5, 1.0939415580496417e-09]","[2, 0.0288983979247054]","[5, 0.08394544450426356]","[100, 100]","[1, 1.0]"
robot text:correction,"[5, 0.005228024036074075]","[3, 0.16384264783836047]","[1, 0.22520174519769007]","[100, 100]","[1, 1.0]","[5, 0.9997498055379087]","[1, 1.0]","[4, 0.5332895477161029]","[2, 0.05608483697719539]","[100, 100]","[100, 100]","[2, 0.043542514379285954]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 0.003026856189129375]","[4, 0.004414210037849925]","[2, 2.0176316509514412e-09]","[5, 0.9917369091993792]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 0.5640103185056795]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[4, 0.5027795320331263]","[1, 1.0]","[5, 0.9963425342750236]","[100, 100]","[1, 1.0]","[5, 0.00026584746682224453]","[1, 0.0005969373424561634]","[1, 1.0]","[5, 0.9510894605993198]","[5, 0.08945247644128132]","[4, 0.06663062563684079]","[100, 100]","[1, 1.0]"
robot text:try again,"[1, 1.0]","[3, 0.4729251355849651]","[3, 0.5210672736222199]","[100, 100]","[1, 1.0]","[3, 0.003797955707676349]","[1, 1.0]","[4, 0.45670834442072916]","[1, 0.2148116703958547]","[100, 100]","[100, 100]","[4, 0.8411373825606493]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[4, 0.5910624571235747]","[3, 0.43846817912149694]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[4, 0.7878041223751265]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[4, 0.1083647572370436]","[1, 1.0]","[4, 0.13913418108017164]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.239386874740462]","[3, 0.5345481483510555]","[100, 100]","[1, 1.0]"
Conversational turns:PC,"[4, 2.638671342625523e-84]","[4, 4.573064738634496e-05]","[1, 0.0004610580216778515]","[100, 100]","[1, 0.9811325154948551]","[5, 0.9999999999999922]","[5, 0.9999999999996335]","[1, 0.012780840557273921]","[3, 0.3650092378609361]","[100, 100]","[100, 100]","[4, 0.8856572722876814]","[1, 0.9876535810299502]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[4, 0.08413966492448273]","[2, 0.06788620040525291]","[2, 2.1950511855315009e-44]","[1, 1.0]","[1, 0.9811325154948551]","[1, 1.0]","[100, 100]","[1, 1.0]","[4, 0.08306281303628722]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 0.9853896576757881]","[4, 0.006285350908753634]","[4, 2.771276569657527e-09]","[1, 1.0]","[100, 100]","[4, 9.281455067375316e-20]","[1, 0.9672718126900244]","[4, 0.00021819278981201204]","[1, 1.0]","[3, 0.001552985618894049]","[100, 100]","[1, 1.0]"
Conversational turns:CP,"[5, 8.218395129026342e-22]","[4, 0.11273257779185003]","[1, 0.0003924087028858578]","[100, 100]","[1, 0.9811325154978559]","[1, 0.003163257210288772]","[1, 2.4373532937146594e-10]","[5, 0.27716354120493203]","[4, 0.015173980510903282]","[100, 100]","[100, 100]","[4, 0.2121300054808652]","[1, 0.9876535810353012]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[2, 0.11995228433283109]","[5, 0.05338648476893765]","[1, 1.96246044123736e-23]","[1, 1.0]","[1, 0.9811325154978559]","[1, 1.0]","[100, 100]","[2, 0.9999902916645573]","[4, 5.390112523134827e-10]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 0.985389657677726]","[2, 0.031025705678658467]","[1, 0.000596926189133224]","[1, 1.0]","[5, 8.551816376993296e-18]","[100, 100]","[1, 0.9732974693474267]","[5, 1.781008109596098e-19]","[1, 1.0]","[1, 0.0005492364541067416]","[100, 100]","[1, 1.0]"
Conversational turns:PCP,"[5, 8.458101150844364e-30]","[3, 0.9999987787924287]","[1, 0.988146032871863]","[100, 100]","[1, 0.9671618627655888]","[1, 8.292759256567313e-08]","[1, 7.529249160281887e-46]","[1, 0.9828578262836867]","[4, 0.16070187050998902]","[100, 100]","[100, 100]","[4, 0.0005568762426630186]","[1, 0.9785092727324293]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 0.9869576000915536]","[1, 0.9430588460927567]","[1, 1.0]","[1, 0.9671618627655888]","[1, 1.0]","[100, 100]","[2, 0.9997135542823578]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 0.9745693872228471]","[2, 6.270187249311145e-11]","[1, 1.0]","[1, 1.0]","[5, 2.3982607129402975e-26]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]"
Conversational turns:CPC,"[100, 100]","[4, 0.00019885607340626834]","[3, 0.0002803307024026073]","[100, 100]","[1, 0.9671618627655888]","[5, 0.9999999990783853]","[5, 0.9999998846788462]","[1, 0.9828578262836867]","[1, 0.9901039687713225]","[100, 100]","[100, 100]","[2, 0.9997638638528511]","[1, 0.9785092727317686]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[4, 0.0068314455609852906]","[5, 0.04549663477426456]","[1, 0.9430588460926324]","[1, 1.0]","[1, 0.9671618627655888]","[1, 1.0]","[100, 100]","[1, 1.0]","[3, 0.9998986687593778]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 0.974569387222568]","[3, 5.443883754850993e-05]","[3, 1.1491284792171571e-08]","[1, 1.0]","[3, 0.9998986687593778]","[2, 6.837524593759278e-23]","[1, 0.9430588460926324]","[100, 100]","[1, 1.0]","[5, 3.6034754918667455e-05]","[100, 100]","[1, 1.0]"
Joint attention:robot,"[1, 1.0]","[1, 0.051514412897646605]","[1, 0.3710359571045633]","[100, 100]","[1, 1.0]","[1, 0.14679308730856683]","[3, 0.9697953955366111]","[5, 0.021649651876740433]","[2, 0.054684828878536054]","[100, 100]","[100, 100]","[1, 0.23531375547707267]","[2, 0.24624988875060463]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 0.0909689479753576]","[5, 0.0019178071789576123]","[1, 5.317185284348226e-05]","[1, 1.0]","[3, 0.0010154086992615054]","[3, 0.23496378899274847]","[1, 1.0]","[100, 100]","[3, 0.17822400371126942]","[1, 1.0]","[2, 0.013219173617676916]","[100, 100]","[100, 100]","[2, 0.013219173617676916]","[3, 0.03776325231604563]","[1, 0.06318113978806546]","[5, 0.01878468619372746]","[2, 0.24129893544597025]","[1, 0.03912759535568779]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 0.08403541351844232]","[100, 100]","[1, 1.0]"
Joint attention:props,"[3, 0.2560448423006886]","[5, 0.0010201361276083022]","[4, 0.37400839448074286]","[100, 100]","[1, 0.0005900177056144883]","[3, 0.20286038581115154]","[1, 1.0]","[2, 0.5566510704373063]","[3, 0.10357053042353175]","[100, 100]","[100, 100]","[4, 0.8443510782751515]","[1, 0.02700771025005606]","[1, 0.02955745156015155]","[5, 0.9996261096292454]","[100, 100]","[2, 0.10300220389521747]","[5, 3.898575559806601e-06]","[4, 0.0013035564115687884]","[5, 0.12362962050371491]","[4, 0.022438036014219776]","[1, 0.07758404906499557]","[5, 0.9996261096292454]","[100, 100]","[2, 0.06444329938255125]","[5, 0.9992303101242174]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[5, 0.038824207227391466]","[1, 0.00854223557109283]","[1, 0.06536162014776675]","[3, 0.15423243988419058]","[1, 0.14643851352259857]","[4, 0.17112211657466897]","[4, 0.39659349133584143]","[5, 0.9999999968863058]","[3, 0.975466700540528]","[5, 0.0017592060754045987]","[100, 100]","[100, 100]","[1, 1.9718209719845558e-05]"
Joint attention:missing data,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Mutual gaze:MG,"[1, 0.9811640080266966]","[4, 0.0309738330818383]","[5, 0.09941897063715603]","[100, 100]","[4, 2.8043077401554675e-27]","[1, 1.0]","[1, 1.0]","[4, 0.10468326725517908]","[1, 0.1516641335382909]","[100, 100]","[100, 100]","[1, 1.0]","[5, 9.920688759532024e-05]","[4, 0.006976200914492276]","[1, 1.0]","[100, 100]","[3, 0.004805062257541326]","[1, 1.0]","[3, 0.3076766596476483]","[1, 0.967326512082417]","[1, 1.0]","[4, 0.07729350560369208]","[1, 1.0]","[100, 100]","[4, 0.012216268617721952]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 0.9854140380778066]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.9811640080271976]","[1, 0.9811640080266966]","[1, 0.967326512082417]","[1, 0.967326512082417]","[1, 1.0]","[3, 0.06130191688047547]","[100, 100]","[100, 100]"
